directory,usage (MB),RAM Total (MB),RAM Used (MB),RAM Available (MB),Disk Total (MB),Disk Used (MB),Disk Available (MB),CPU Usage (%)
C:\Users\user\.android,2.150650978088379,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.cache,0.1683187484741211,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.config,0.000606536865234375,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.dbus-keyrings,7.43865966796875e-05,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.docker,2.5868139266967773,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.ghidra,0.22539234161376953,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.gradle,1996.6059188842773,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.icesoft,0.0,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.ipynb_checkpoints,0.008791923522949219,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.ipython,0.4847288131713867,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.jupyter,2.47955322265625e-05,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.m2,0.0018405914306640625,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.matplotlib,0.10881805419921875,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.mcard,0.0005931854248046875,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.splunk,0.0,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.spyder-py3,0.09975433349609375,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\.vscode,994.070463180542,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\AndroidStudioProjects,0.306121826171875,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\AppData,50538.462319374084,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Cisco Packet Tracer 8.2.1,0.05025672912597656,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Contacts,0.000392913818359375,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Desktop,3.201113700866699,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Documents,1791.515724182129,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Downloads,30293.632571220398,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Favorites,0.0006580352783203125,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\IntelGraphicsProfiles,0.024135589599609375,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Links,0.0018301010131835938,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Music,0.00048065185546875,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\My Drive,1263.1697006225586,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\OneDrive,8.58306884765625e-05,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\OpenVPN,0.01865673065185547,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Pictures,352.37526416778564,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\PycharmProjects,947.5372657775879,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Saved Games,4.402358055114746,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Searches,0.0017881393432617188,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\source,55.253005027770996,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Videos,279.72827529907227,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\welcome-to-docker,1.012298583984375,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
C:\Users\user\Zotero,11.672476768493652,24359.3046875,21239.8203125,3119.484375,488268.99609375,223264.55078125,265004.4453125,2.9
